DataFile,method,metric,acceleration
../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,amap,euclidean,1.092532447
../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,GPU,euclidean,1
../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,factoextra,euclidean,372.9049535
../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,CPU,euclidean,1.044107478
../../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,pandas,euclidean,1.846039256
../../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,pythonic,euclidean,1.978496415
../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,amap,pearson,1.397136395
../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,GPU,pearson,1
../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,factoextra,pearson,141.4010414
../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,CPU,pearson,2.042082347
../../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,pandas,pearson,2.057613757
../../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,pythonic,pearson,2.451203275
../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,amap,kendall,40.39465431
../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,GPU,kendall,1
../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,CPU,kendall,347.7637789
../../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,factoextra,kendall,0.000177487
../../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,pythonic,kendall,0.071704769
../../DistanceBenchmarking/Generated/100_cells_10000_genes.csv,pandas,kendall,2.292420759
../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,amap,euclidean,3.498922804
../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,GPU,euclidean,1
../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,factoextra,euclidean,9.19983205
../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,CPU,euclidean,3.102722466
../../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,pandas,euclidean,16.39224229
../../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,pythonic,euclidean,17.63907105
../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,amap,pearson,2.930243329
../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,GPU,pearson,1
../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,factoextra,pearson,1.466189638
../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,CPU,pearson,5.020627327
../../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,pandas,pearson,3.647951087
../../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,pythonic,pearson,10.1874557
../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,amap,kendall,41.30334059
../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,GPU,kendall,1
../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,CPU,kendall,166.0001492
../../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,factoextra,kendall,0.019693657
../../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,pandas,kendall,64.31780153
../../DistanceBenchmarking/Generated/1000_cells_1000_genes.csv,pythonic,kendall,1.958134576
../../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,amap,euclidean,0.715685405
../../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,GPU,euclidean,1
../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,factoextra,euclidean,0.024335805
../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,CPU,euclidean,1.276797438
../../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,pandas,euclidean,33.82330597
../../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,pythonic,euclidean,40.51435507
../../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,amap,kendall,6.870860594
../../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,GPU,kendall,1
../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,CPU,kendall,87.96188712
../../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,factoextra,kendall,0.180426786
../../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,pythonic,kendall,34.1325797
../../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,amap,pearson,0.065515023
../../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,GPU,pearson,1
../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,factoextra,pearson,0.000526112
../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,CPU,pearson,0.479791764
../../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,pandas,pearson,0.140531029
../../DistanceBenchmarking/Generated/10000_cells_100_genes.csv,pythonic,pearson,2.754980952
