,DataFile,metric,method,wX,wY,ID,|W|,logWX,logWY,logMeanTime,logMeanTimeReinit,logMinTime,logMaxTime,minTime,maxTime,mean_reinit,mean_sequential,sd,Method,batch_size,num_batches,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,ID_full,vlookup_cated,base,acceleration
5,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/100_cells_10_features/100/_GPU_kendall.csv,kendall,GPU,100,10,100_10,1000,2.0,1.0,3.447867058412434,3.795132387689224,3.373187949912719,3.795132387689224,2361.5,6239.25,6239.25,2804.575,1146.2005935371872,kendall_GPU,100,1.0,6239.25,2571.0,2445.25,2361.5,2378.25,2424.0,2392.25,2394.0,2420.75,2419.5,100_10_100,100_10_500,2804.575,1.0
6,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/1000_cells_10_features/500/_GPU_kendall.csv,kendall,GPU,1000,10,1000_10,10000,3.0,1.0,4.802705327074352,4.824389455936208,4.795820949277817,4.824389455936208,62491.5,66740.5,66740.5,63490.0,1492.001650468256,kendall_GPU,500,2.0,66740.5,62542.75,65654.5,64497.5,62549.5,62495.75,62518.25,62491.5,62863.5,62546.25,1000_10_500,1000_10_500,63490.0,1.0
7,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/1000_cells_10_features/1000/_GPU_kendall.csv,kendall,GPU,1000,10,1000_10,10000,3.0,1.0,4.814693650793283,4.841229600743545,4.793591345635233,4.841229600743545,62171.5,69379.25,69379.25,65267.0,2265.595583946967,kendall_GPU,1000,1.0,69379.25,66648.75,66497.0,66419.75,66421.5,66403.0,62171.5,62183.5,63296.75,63249.0,1000_10_1000,1000_10_500,63490.0,0.9727733770511897
10,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/1000_cells_10_features/100/_GPU_kendall.csv,kendall,GPU,1000,10,1000_10,10000,3.0,1.0,5.076207662792919,5.10312781604967,5.063868858725734,5.10312781604967,115842.75,126802.5,126802.5,119181.175,3351.202905394569,kendall_GPU,100,10.0,126802.5,117839.75,117313.25,118629.25,121295.75,118762.0,123001.5,116251.75,115842.75,116073.25,1000_10_100,1000_10_500,63490.0,0.5327183592543033
23,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/1000_cells_10000_features/500/_GPU_kendall.csv,kendall,GPU,1000,10000,1000_10000,10000000,3.0,4.0,8.188319381864783,8.189520577102966,8.174373219301389,8.199687279846891,149407782.25,158375237.75,154710780.5,154283464.25,2327524.302782438,kendall_GPU,500,2.0,154710780.5,156121077.0,155499334.25,153459271.25,151739850.25,153618373.75,155213173.5,154689762.0,158375237.75,149407782.25,1000_10000_500,1000_10000_500,154283464.25,1.0
24,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/1000_cells_10000_features/1000/_GPU_kendall.csv,kendall,GPU,1000,10000,1000_10000,10000000,3.0,4.0,8.166766916611948,8.130819782412644,8.130819782412644,8.182195468888281,135151161.5,152123205.75,135151161.5,146813812.475,4962837.132900528,kendall_GPU,1000,1.0,135151161.5,142346150.75,149212528.25,144746989.0,144244102.0,149254882.75,152123205.75,151413373.5,149450144.5,150195586.75,1000_10000_1000,1000_10000_500,154283464.25,1.0508783993077762
27,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/1000_cells_10000_features/100/_GPU_kendall.csv,kendall,GPU,1000,10000,1000_10000,10000000,3.0,4.0,8.183187538717501,8.189251089686422,8.17365346362687,8.198575863542725,149160374.0,157970453.0,154614809.5,152471101.825,2535660.6168211424,kendall_GPU,100,10.0,154614809.5,157970453.0,149176852.25,149160374.0,151340133.0,150652571.75,154033589.75,153087424.25,152020160.0,152654650.75,1000_10000_100,1000_10000_500,154283464.25,1.0118865962356602
28,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/10000_cells_10_features/10000/_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.998461627403104,7.012389839690909,6.990893680006727,7.012389839690909,9792502.25,10289395.0,10289395.0,9964640.325,145572.69018273355,kendall_GPU,10000,1.0,10289395.0,9922501.0,10081092.5,9846769.5,10055161.5,9809855.0,9999422.0,9850494.75,9999209.75,9792502.25,10000_10_10000,10000_10_500,6075456.65,0.6097015498650225
29,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/10000_cells_10_features/500/_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.783578926405623,6.787694774461135,6.779763305489646,6.788754679457201,6022312.75,6148294.75,6133308.0,6075456.65,38502.45617931406,kendall_GPU,500,20.0,6133308.0,6096088.25,6022312.75,6036036.75,6042999.5,6148294.75,6063894.25,6069563.0,6063708.0,6078361.25,10000_10_500,10000_10_500,6075456.65,1.0
30,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/10000_cells_10_features/1000/_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.805193212315037,6.817377316358165,6.795054142551948,6.817377316358165,6238126.0,6567155.75,6567155.75,6385475.05,95542.67797120824,kendall_GPU,1000,10.0,6567155.75,6498306.25,6359191.75,6330013.75,6272042.0,6462772.0,6375852.5,6397313.75,6353976.75,6238126.0,10000_10_1000,10000_10_500,6075456.65,0.9514494383624599
