,metric,dataset,mean,log_mean,method,missing,batch_size,cated,vlookup_cated,base,acceleration
0,kendall,B_T,186252176.625,8.270101356806656,GADES-GPU-sparse,False,250,sparse_GPUB_T250,sparse_GPUB_T500,175074953.0,0.9399887623997855
1,kendall,B_T,175074953.0,8.24322401843089,GADES-GPU-sparse,False,500,sparse_GPUB_T500,sparse_GPUB_T500,175074953.0,1.0
2,kendall,B_T,187964291.5,8.274075352043043,GADES-GPU-sparse,False,1000,sparse_GPUB_T1000,sparse_GPUB_T500,175074953.0,0.93142666409061
3,kendall,B_T,246384470.5,8.391613330973314,GADES-GPU-sparse,False,2000,sparse_GPUB_T2000,sparse_GPUB_T500,175074953.0,0.7105762495692682
4,kendall,B_T,246384470.5,8.391613330973314,GADES-GPU-sparse,True,4000,sparse_GPUB_T4000,sparse_GPUB_T500,175074953.0,0.7105762495692682
5,kendall,B_CD8T,19157539.875,7.282339738181455,GADES-GPU-sparse,False,250,sparse_GPUB_CD8T250,sparse_GPUB_CD8T500,19465313.5,1.0160654043790682
6,kendall,B_CD8T,19465313.5,7.289261402671374,GADES-GPU-sparse,False,500,sparse_GPUB_CD8T500,sparse_GPUB_CD8T500,19465313.5,1.0
7,kendall,B_CD8T,20372557.125,7.309045544246966,GADES-GPU-sparse,False,1000,sparse_GPUB_CD8T1000,sparse_GPUB_CD8T500,19465313.5,0.9554673662499302
8,kendall,B_CD8T,20056554.75,7.302256333391918,GADES-GPU-sparse,False,2000,sparse_GPUB_CD8T2000,sparse_GPUB_CD8T500,19465313.5,0.9705212955380584
9,kendall,B_CD8T,20458578.25,7.310875449530883,GADES-GPU-sparse,False,4000,sparse_GPUB_CD8T4000,sparse_GPUB_CD8T500,19465313.5,0.9514499620715335
10,kendall,PBMC_all,429156940.75,8.632616140757133,GADES-GPU-sparse,False,250,sparse_GPUPBMC_all250,sparse_GPUPBMC_all500,395128695.75,0.9207090885200836
11,kendall,PBMC_all,395128695.75,8.596738570945265,GADES-GPU-sparse,False,500,sparse_GPUPBMC_all500,sparse_GPUPBMC_all500,395128695.75,1.0
12,kendall,PBMC_all,440219632.25,8.643669406658312,GADES-GPU-sparse,False,1000,sparse_GPUPBMC_all1000,sparse_GPUPBMC_all500,395128695.75,0.8975717273908562
13,kendall,PBMC_all,598030496.875,8.776723331625224,GADES-GPU-sparse,False,2000,sparse_GPUPBMC_all2000,sparse_GPUPBMC_all500,395128695.75,0.6607166320358903
